,numPhotos,price,propertyType,size,exterior,rooms,bathrooms,address,municipality,latitude,longitude,distance,description,priceByArea,hasPlan,floor,district,hasLift,parkingSpace_included_in_listing,floor_grouped,municipality_grouped
132,28,750.0,flat,75.0,True,3 or more,1,Calle de Gregorio Ortiz,Madrid,40.34221,-3.70615,8286,"Estupendo piso de 75 m2. Dispone de 3 habitaciones, amplio salón de paso con acceso a una terraza de 12m2, cocina amueblada y equipada, 1 baño con ducha, calefacción Individual de gas, aire acondicionado, exterior y amueblado. Gastos de comunidad incluidos en el precio de la renta.  Finca sin ascensor. Situado en una zona comercial junto a todos los servicios. A 7 minutos a pie de la estación de Renfe y Metro ""Villaverde Alto"" (C-5 y L-3) y líneas de autobuses 22-432-438-N14. No se aceptan animales.",10.0,False,unknown,Villaverde,False,False,unknown,Madrid
133,1,600.0,penthouse,25.0,True,1,1,"Calle Carretas, 31",Madrid,40.41505,-3.70318,183,"Magnífica vivienda, acabados en materiales nobles, portero físico, videoportero, ascensor, finca de reciente rehabilitación en zona céntrica próxima a comercios y transporte público. Imprescindible aval bancario (mínimo equivalente a 6 mensualidades). Gastos de comunidad incluidos. Posibilidad de trastero en la misma finca (75€+iva / mes).",24.0,True,5,Centro,True,False,4 or more,Madrid
134,30,705.0,flat,48.0,True,1,1,"Calle Arte Pop, 8",Madrid,40.36318,-3.58742,11472,"Vivienda de 1 dormitorio totalmente exterior, con primeras calidades. Salón/Cocina muy moderna con espacio totalmente abierto. Suelo de tarima en toda la vivienda, armario empotrado en dormitorio, y baño con espejo y mampara incluida. ZONAS COMUNES: Piscina y Gimnasio recién estrenado.  Calle Arte pop 8, está ubicada en el PAU de Vallecas, un nueva área residencial dentro de Madrid con amplias zonas verdes, parques, centros docentes, complejos deportivos, espacios sociales, un gran centro comercial y numerosas calles peatonales. una inteligente distribución de las viviendas, aprovechando los espacios lo mejor posible.  Excelentes calidades y sus zonas comunes hacen de arte pop 8 un lugar ideal para vivir, piscina, zona de juegos, que incluyen plaza de garaje y trastero.  Consulte condiciones y disponibilidad.  Sin comisiones de agencia. Vivienda no amueblada.  REQUISITOS  1 mes de fianza + seguro de impago. Contrato indefinido de más de un año de antigüedad. Seguro de vivienda (contenido). **La vivienda publicada y sus imágenes pueden no corresponderse a la disponibilidad real. **.",14.6875,True,4,Villa de Vallecas,True,True,4 or more,Madrid
136,35,650.0,flat,62.0,True,2,1,Calle Nuevo Guadarrama,Guadarrama,40.68149,-4.0779,43229,"Maravilloso piso en Guadarrama Nuria alquila su piso en Guadarrama, un espacio para disfrutar en tu día a día. Características: - Genial piso de 62 m2 en Guadarrama. (Los metros cuadrados están verificados con la Dirección General de Catastro) - La vivienda dispone de 2 habitaciones y 1 baño, tanto las habitaciones como el baño y la cocina de la casa son exteriores. - Cálido salón que es un lugar perfecto para descansar tras una jornada de trabajo, siendo además, un espacio agradable estupendo para visitas de amigos y familiares. - Además dispone de armarios empotrados. - Amueblado - Con una efectiva cocina muy completa. - Calefacción por gas con programador. - Terraza - Podemos disfrutar de una amplia zona deportiva (tenis, paddle, futbol, baloncesto... ) y comercial (alimentación y restaurantes) dentro de la urbanización. - Además de amplios jardines comunitarios. - Piscina olímpica comunitaria y piscina infantil. - Fianza 2 meses. - Honorarios de agencia. El piso se encuentra en Madrid, en la localidad de Guadarrama, con todos los servicios que puedas necesitar para facilitar tus días en todo momento. Sobre nosotros: Housfy es una plataforma tecnológica que ofrece al propietario/a todos los servicios necesarios para que pueda alquilar la propiedad por su cuenta. Para más información, visítenos en housfy. com. AICAT número: 7922.",10.483870967741936,True,3,unknown,False,False,3,Other
138,29,700.0,duplex,61.0,True,2,1,Camino de Madrid,Cobeña,40.56843,-3.50277,23917,"¿BUSCA ALQUILER? Dúplex en Cobeña con magnífica ubicación. Disponible para entrar a vivir. Se compone de 2 plantas las cuales cuentan con Cocina independiente, amueblada y electrodomésticos básicos, tendedero con acceso desde la cocina, salón independiente con aire acondicionado y bomba de calor y aseo, en la planta principal. En la planta superior cuenta con dos dormitorios con armarios empotrados, forrados y vestidos, con ventanas de velux. y un baño completo con bañera. Es la oportunidad de que viva en un agradable municipio con colegios, centro médico, supermercados y situado a 20 minutos de Alcobendas y 25 de Alcalá de Henares. Cuenta con amplios horarios en línea de autobuses. ¡ La zona es una decisión importante para tener en cuenta! Fresno Inmobiliaria Tu confianza es nuestra motivación Encuentra más en.",11.475409836065573,False,1,unknown,False,False,1,Other
139,14,650.0,studio,40.0,False,0,1,Calle Berruguete,Madrid,40.46238,-3.70678,5088,"Servicheck Alquila, información con Miguel Rojas al 685.475. 779 también atiende por WhatsApp  Se alquila magnifico estudio en la zona de Berruguete. El piso consta de un baño con bañera, cocina totalmente equipada independiente, salón-dormitorio equipado.  Muy bien comunicado con C/ bravo murillo donde se encuentra todos los comercios y el ocio. Además de tener un Mercadona a tan solo 7 minutos de la vivienda. Bien comunicado con la linea 1 ( tetuan / estrecho. ) a tan solo 8 minutos de la vivienda. Mejor ver. Para visitas e información contactar con Miguel al 685_475_779 (También se atiende por Whatsapp).",16.25,False,0.5,Tetuán,True,False,0.5,Madrid
140,16,700.0,flat,40.0,True,1,1,Calle de los Sagrados Corazones,Madrid,40.40898,-3.73814,3076,"¡OPORTUNIDAD! - Para información y visitas preguntar por Beatriz en el 615_971_619 (también se atiende por WhatsApp) - Para una mejor experiencia visual entrar en el tour virtual en 3D. SERVICHECK alquila bonito piso recién reformado en la zona de Puerta del Ángel. La vivienda se encuentra en una planta baja. Está distribuida de la siguiente manera: - Salón. - Cocina americana amueblada y equipada con frigorífico, vitrocerámica, campana, horno, lavadora/secadora, lavavajillas y microondas. - Dormitorio con armario empotrado. - Baño con plato de ducha. La vivienda es exterior y cuenta con calefacción y aire acondicionado por bomba frío/calor. Suelos de tarima. Se alquila sin amueblar. A escasos metros de la vivienda puedes encontrar supermercados como DIA, fruterías, Farmacia, restaurantes y todo tipo de servicios. Infórmate sin compromiso contactando con Beatriz 615_971_619 (también se atiende por WhatsApp).",17.5,False,0,Latina,False,True,0,Madrid
141,30,730.0,flat,51.0,True,2,1,Calle de Villajoyosa,Madrid,40.35668,-3.68992,6767,"""PROMOCIÓN: 1 mes de alquiler GRATIS. Y además, ¡sin comisiones de agencia! Excelente piso de dos dormitorios y un baño. Se encuentra en la cuarta planta de un edificio residencial. No dispone de ascensor. Situado en el barrio de Los Rosales en el distrito de Villaverde, Madrid. La vivienda se distribuye en dos dormitorios, salón-comedor con acceso a terraza, cocina independiente y un baño. Cuenta con cocina amueblada y equipada con muebles altos y bajos, vitrocerámica, horno y campana extractora. Dispone de suelos de gres en cocina y baño y tarima en el resto de estancias.  Se encuentra ubicado en Villaverde al sur de Madrid. Cuenta con fácil acceso a través de las principales carreteras y buenas comunicaciones por transporte público con diversas líneas de autobuses. La parada de metro más cercana es Villaverde Bajo Cruce y se encuentra a 8 minutos caminando.  En su entorno existen viviendas plurifamiliares de similares características. La zona cuenta con todo tipo de servicios básicos, tales como, sanitarios, educativos, restaurantes, supermercados, comercios, parques… *Promoción válida para contratos firmados antes de 30 de septiembre del 2022 (incluido). Esta promoción no es acumulable. Condiciones válidas para inmuebles identificados en portales con detalle promocional de campaña identificado en descriptivo del anuncio. "".",14.313725490196079,True,4,Villaverde,False,False,4 or more,Madrid
142,35,750.0,flat,50.0,True,2,1,Calle de la Gavia Seca,Madrid,40.3782,-3.61884,8331,"""PROMOCIÓN: 1 mes de alquiler GRATIS. Y además, ¡sin comisiones de agencia! Excelente piso de dos dormitorios y un baño. Se encuentra en la tercera planta de un edificio residencial. No dispone de ascensor. Situado en el barrio de Casco Histórico en el distrito de Villa Vallecas. La vivienda se distribuye en dos dormitorios (uno de ellos con armario empotrado), salón-comedor, cocina independiente y un baño. Cuenta con cocina amueblada y equipada con muebles altos y bajos, vitrocerámica, horno y campana extractora. Dispone de suelos de gres en todas las estancias.  Se encuentra ubicado en Villa Vallecas al Sur de Madrid. Cuenta con fácil acceso a través de las principales carreteras y buenas comunicaciones por transporte público con diversas líneas de autobuses. La parada de metro más cercana es Villa de Vallecas y se encuentra a 3 minutos caminando.  En su entorno existen viviendas plurifamiliares de similares características. La zona cuenta con todo tipo de servicios básicos, tales como, sanitarios, educativos, restaurantes, supermercados, comercios, parques… *Promoción válida para contratos firmados antes de 30 de septiembre del 2022 (incluido). Esta promoción no es acumulable. Condiciones válidas para inmuebles identificados en portales con detalle promocional de campaña identificado en descriptivo del anuncio. "".",15.0,True,3,Villa de Vallecas,False,False,3,Madrid
143,29,680.0,flat,56.0,True,2,1,Calle Madrid,Torrejón de Ardoz,40.46265,-3.48334,19298,"""PROMOCIÓN: 1 mes de alquiler GRATIS. Y además, ¡sin comisiones de agencia! Excelente piso de dos dormitorios y un baño. Se encuentra en la tercera planta de un edificio residencial. No dispone de ascensor. Situado en el centro de Torrejón de Ardoz. La vivienda se distribuye en dos dormitorios, salón-comedor con acceso a terraza acristalada, cocina independiente y un baño. Cuenta con cocina amueblada y equipada con muebles altos y bajos, vitrocerámica, horno y campana extractora. Dispone de suelos de gres en cocina y baño y tarima en el resto de estancias.  Se encuentra ubicado en Torrejón de Ardoz, al noreste de Madrid. Cuenta con fácil acceso a través de las principales carreteras y buenas comunicaciones por transporte público con diversas líneas de autobuses. La parada de metro más cercana es Torrejón de Ardoz y se encuentra a 12 minutos caminando.  En su entorno existen viviendas plurifamiliares de similares características. La zona cuenta con todo tipo de servicios básicos, tales como, sanitarios, educativos, restaurantes, supermercados, comercios, parques… *Promoción válida para contratos firmados antes de 30 de septiembre del 2022 (incluido). Esta promoción no es acumulable. Condiciones válidas para inmuebles identificados en portales con detalle promocional de campaña identificado en descriptivo del anuncio. "".",12.142857142857142,True,3,Noroeste,False,False,3,Other
144,29,710.0,flat,78.0,True,3 or more,1,Calle Isaac Albéniz,Parla,40.22968,-3.77298,21617,"""PROMOCIÓN: 1 mes de alquiler GRATIS. Y además, ¡sin comisiones de agencia! Excelente piso de tres dormitorios y un baño. Se encuentra en la cuarta planta de un edificio residencial. No dispone de ascensor. Situado en el distrito de Fuentebella, en Parla. La vivienda se distribuye en tres dormitorios, salón-comedor, cocina independiente, un baño y amplio balcón. Cuenta con cocina amueblada y equipada con muebles altos y bajos, vitrocerámica, horno y campana extractora. Dispone de suelos de gres en cocina y baño y tarima en el resto de estancias. Se encuentra ubicado en Parla, al sur de Madrid. Cuenta con fácil acceso a través de las principales carreteras y buenas comunicaciones por transporte público con diversas líneas de autobuses. En su entorno existen viviendas plurifamiliares de similares características. La zona cuenta con todo tipo de servicios básicos, tales como, sanitarios, educativos, restaurantes, supermercados, comercios, parques… *Promoción válida para contratos firmados antes de 30 de septiembre del 2022 (incluido). Esta promoción no es acumulable. Condiciones válidas para inmuebles identificados en portales con detalle promocional de campaña identificado en descriptivo del anuncio. "".",9.102564102564102,True,4,Fuentebella-San Felix-El Leguario,False,False,4 or more,Other
145,29,720.0,flat,47.0,True,2,1,Calle de Arrozal,Madrid,40.42642,-3.62048,7088,"""PROMOCIÓN: 1 mes de alquiler GRATIS. Y además, ¡sin comisiones de agencia! Excelente piso de dos dormitorios y un baño. Se encuentra en la primera planta de un edificio residencial. No dispone de ascensor. Situado en el barrio de Amposta en el distrito de San Blas, Madrid. La vivienda se distribuye en dos dormitorios, salón-comedor, cocina independiente y un baño. Cuenta con cocina amueblada y equipada con muebles altos y bajos, vitrocerámica, horno y campana extractora. Dispone de suelos de gres en cocina y baño y tarima en el resto de estancias.  Se encuentra ubicado en San Blas al este de Madrid. Cuenta con fácil acceso a través de las principales carreteras y buenas comunicaciones por transporte público con diversas líneas de autobuses. La parada de metro más cercana es San Blas y se encuentra a 8 minutos caminando.  En su entorno existen viviendas plurifamiliares de similares características. La zona cuenta con todo tipo de servicios básicos, tales como, sanitarios, educativos, restaurantes, supermercados, comercios, parques… *Promoción válida para contratos firmados antes de 30 de septiembre del 2022 (incluido). Esta promoción no es acumulable. Condiciones válidas para inmuebles identificados en portales con detalle promocional de campaña identificado en descriptivo del anuncio. "".",15.319148936170214,True,1,San Blas,False,False,1,Madrid
146,12,750.0,studio,43.0,True,0,1,Calle de las Azucenas,Madrid,40.46464,-3.70154,5332,"Estudio seminuevo de 43m2, dispone de amplio salón-dormitorio, cocina amueblada y equipada independiente, 1 baño con bañera, armarios empotrados, calefacción individual de Gas Natural y suelos de tarima. Piso amueblado muy luminoso y exterior. Finca con ascensor y tendedero comunitario. Gastos de comunidad y trastero incluidos. Situado en zona comercial con todos los servicios, Estaciones de Metro mas cercanas "" Tetuán"" (L-1) y "" Valdeacederas"" (L-1). No se admiten animales.",17.441860465116278,False,unknown,Tetuán,True,False,unknown,Madrid
148,12,695.0,studio,40.0,True,0,1,Calle Camarillas,Madrid,40.47406,-0.35779,12376,"Estudio de obra nueva a estrenar de 40m2, distribuidos en un espacio diáfano con cocina amueblada y completamente equipada, 1 baño, y 2 balcones hacia el exterior. Calefacción individual a gas natural, ventanas climalit con rotura puente térmico, exterior, sin amueblar. Finca con ascensor y jardines. Plaza de garaje y gastos de comunidad incluidos en el precio. Animales a consultar. Zona tranquila con todos los servicios.  Metro más cercano ""Barajas"" (L8). EMT Autobuses: 101, 105, 115 y N4. Más información y video visita en nuestra web.",17.375,False,unknown,Barajas,True,True,unknown,Madrid
150,42,750.0,flat,90.0,True,3 or more,1,Calle Carrachel,Algete,40.59965,-3.50417,26401,"Piso de 90m2 distribuidos en: hall de entrada, amplio salón, cocina amueblada y equipada, 3 habitaciones, 1 baño completo con plato de ducha, y terraza. Calefacción Individual a gas natural, ventanas climalit, suelos de parquet y terrazo, exterior, sin amueblar. Finca con ascensor. Gastos de comunidad incluidos en el precio. No se aceptan animales. Zona tranquila con todos los servicios. Autobuses: 181, 182, 183, 185, 263 y N103. Más información, y video visita en nuestra web.",8.333333333333334,False,unknown,unknown,True,False,unknown,Other
151,1,730.0,flat,50.0,True,1,1,Metro congosto,Madrid,40.37096,-3.61964,8717,"""SERVICHECK ALQUILA APARTAMENTO DE UN DORMITORIO, PARA MAS INFORMACIÓN Y VISITA LLAMAR A MIGUEL ROJAS AL 685.475. 779 TAMBIÉN ATINDE POR WHATSAPP. El piso de 50mts consta de: 1 dormitorio con armario empotrado, salón muy luminoso, 1 Cuarto de baño, Cocina equipada con frigorífico, lavadora, lavavajillas, horno, vitrocerámica, campana. Suelos de tarima flotante excepto baño y cocina que tienen baldosa. Plaza de Garaje incluida en el precio. Contáctanos y te lo mostramos sin compromiso alguno ya que sabemos que en persona supera las expectativas. "". "". "". "".",14.6,False,2,Villa de Vallecas,True,True,2,Madrid
152,24,600.0,flat,90.0,True,3 or more,1,Calle del Pozo Chico,Valdemoro,40.19133,-3.67378,25182,"Hermoso piso de 90m². La vivienda cuenta con 3 habitaciones, salón con acceso a una terraza de 5m² acristalada, cocina equipada y amueblada, área comedor, 1 baño, armarios en los dormitorios y calefacción individual a gas natural. El piso se entrega amueblado. Gastos de comunidad incluidos en la renta.  Finca con ascensor. Estación de Renfe mas cercana ""Valdemoro"" Animales a consultar.",6.666666666666667,False,unknown,Centro,True,False,unknown,Other
153,17,650.0,studio,45.0,True,0,1,"Calle de Fernando Gabriel, 16",Madrid,40.42454,-3.63722,5656,"Espectacular loft de 45m2 totalmente reformado, muy luminoso, exterior que consta de cocina americana totalmente amueblada con electrodomésticos ( frigorífico, lavadora, microondas, campana de extracción, vitro- cerámica, ), aire acondicionado bomba calor y frío, cuarto de baño completo con plato de ducha, armario- despensa-trastero amplio muy útil, puerta brindada, ventanas de climalit, persianas eléctricas. Su ubicación es algo inmejorable ya que se encuentra rodeado de colegios, zonas verdes, comercios, restaurantes, farmacia, parques. A escasos metros de la vivienda se encuentra todo tipo de transporte público tanto metro con varias líneas diferentes como variedad de líneas de autobús  No pierda la oportunidad en visitarlo.",14.444444444444445,False,0,Ciudad Lineal,True,False,0,Madrid
154,20,750.0,flat,38.0,False,1,1,"Calle de Atocha, 51",Madrid,40.41308,-3.70035,470,"[ESP] Disponible en: 02/09/2022.  Reserve en línea haciendo clic bajo el mapa en ""Enlace adicional"".  [ENG] Available from: 02/09/2022.  Book online by clicking on ""additional link"" under the map.  ************* [ESP] ¿CÓMO FUNCIONA ROOMLESS? Roomless es una plataforma online de alquileres de media-larga duración que nace como garantía para el inquilino: comprobamos todos los pisos y las fotos son recientes y fiables para que puedas reservar online con tranquilidad para evitar que alguien lo haga antes que tú.  Para reservar en línea, siga el enlace que aparece al final de la página (debajo del mapa) y haga clic en ""alquilar ahora. Para reservar una visita, siga el enlace situado en la parte inferior de la página (debajo del mapa) y haga clic en ""reservar una visita. Si necesita ayuda, póngase en contacto con nosotros y le ayudaremos. [ENG] HOW DOES ROOMLESS WORK? Roomless is an online platform for medium-long term rentals that was created as a guarantee for the tenant: we check all the apartments and the photos are recent and reliable so you can book online with peace of mind to avoid someone else doing it before you. To book online, follow the link at the end of the page (under the map) and click on ""rent now"". To book a visit, follow the link at the end of the page (under the map) and click on ""book a visit"". If you need help, contact us and we will help you. ************* Fantástico apartamento de 35m2, amueblado, planta baja exterior disponible para cortas o largas estancias. En zona residencial cerca de supermercados, dentistas, farmacias, bares e incluso un centro de yoga, todo te será de gran ayuda, rodeado de zonas verdes a 7 minutos andando del metro y con líneas de autobuses Este apartamento cuenta con una habitación con cama de matrimonio y armario doble. Salón con sofa y television. Cocina americana totalmente equipado con microondas, vitro cerámica de dos fogones y lavadora. Baño completo con ducha. El Apartamento se encuentra en el distrito Moncloa-Aravaca de Madrid, a 3 km del Paseo de la Castellana, a 7 km de la Puerta del Sol y a 5 km de la Gran Vía se encuentra a 5 km del apartamento Moncloa - Aravaca es una opción genial para los viajeros interesados en visitar el centro histórico,  los monumentos y los parques. Los gastos no están incluidos en el precio del alquiler Requiere un mes de fianza, uno de alquiler y un mes más IVA de comisión de agencia. Costes de apertura del contrato/Contract opening fees:  Un mes de alquiler, un mes de fianza y un mes de costos de agencia + IVA Costes de cierre del contrato/Contract closure fees:  80 €.",19.736842105263158,False,0,Centro,True,False,0,Madrid
156,21,730.0,flat,50.0,True,1,1,Calle Ana María Matute,Rivas-Vaciamadrid,40.35073,-3.52991,16410,"Piso de obra seminueva de 50m2, dispone de 1 dormitorio, salón comedor, cocina amueblada y equipada con tendedero, 1 baño completo, armarios empotrados, calefacción individual de gas natural. El inmueble es exterior y se entrega semi-amueblado. Finca con ascensor, jardines, piscina y portería. Gastos de comunidad y plaza de garaje incluidos en el precio. Cercano a todo tipo de comercios y servicios. No se admiten animales.",14.6,False,unknown,Rivas Futura,True,True,unknown,Other
159,0,735.0,studio,30.0,True,0,1,"Carretera Fuencarral a Alcobendas, 22",Madrid,40.51473,-3.6734,11188,"TODOS LOS GASTOS INCLUIDOS. Despreocúpese de contratar luz, agua, gas, A/C, etc. QUEDA ¡TODO INCLUIDO! Con todo lo necesario para entrar a vivir Estudio con cocina equipada y completamente amueblado. Para entrar a vivir!  Varios estudios disponibles. Edificio de lujo con portal de 1.000 m2 que alberga una exposición de coches de lujo permanente. Está completamente amueblado.  Plaza parking INCLUIDA en el precio.  Edificio con portero 24 horas con recogida de paquetes. Edificio con gimnasio.  Directo propiedad sin comisión de agencia.  Metro a 5 minutos andando, directo a Plaza de Castilla, Plaza de España, Gran Vía.  Acceso en coche a 5 minutos de plaza castilla. Parada de autobús a 5 minutos directo a Plaza de Castilla.  Mercadona a 2 minutos andando. Carrefour grande a 5 minutos en coche.  Campos de golf y padel a 3 minutos en coche. Centro comercial Moraleja Green con cines, zara, h&m, tony romans, pizza jardín, y mucho más, a 2 minutos en coche. Estancia mínima 3 meses.  ¡Venga a verlo sin compromiso! Atendemos llamadas las 24h del día, los 7 días de la semana Realizamos visitas los 7 días de la semana Podemos realizar visitas virtuales por Videollamada o WhatsApp.",24.5,False,2,Fuencarral,True,True,2,Madrid
160,29,610.0,flat,72.0,False,1,1,Calle de Pedro Faura,Pinto,40.24092,-3.70242,19544,"PROMOCIÓN SEPTIEMBRE: 1 MES DE ALQUILER GRATIS si reservas antes del 30 de Septiembre. Y además, ¡sin comisiones de agencia! Excelente piso de aproximadamente 47 m², se encuentra en el municipio de Pinto, provincia de Madrid. La vivienda se distribuye en: un dormitorio, un cuarto de baño, cocina equipada y luminoso salón comedor. Dispone de plaza de garaje. Se encuentra en la planta baja de un edificio de tres alturas sobre rasante y dos plantas sótano, el cual dispone de ascensor. La cocina cuenta con muebles altos y bajos, dispone de horno, placa vitrocerámica y campana extractora. Dispone de armario empotrado en el dormitorio y baño completo con bañera. Dispone de suelos de cerámica en toda la vivienda, cerramientos de aluminio, pintura lisa, termo para agua caliente y calefacción individual por energía eléctrica. Vivienda en perfecto estado de conservación orientada a las zonas comunes del edificio. Edificio con año de construcción aproximado 2007 situado en una zona consolidada con todo tipo de servicios y comercios a su alrededor. Colegios y grandes zonas verdes. Comunicaciones completas con el resto de la provincia por carreteras y autopistas, servicios de ferrocarriles (cercanías a tan sólo 5 minutos) autobuses interurbanos. Buenas comunicaciones con el resto de la ciudad, con paradas próximas de autobuses urbanos interurbanos. *Promoción válida para contratos firmados antes de 30 de Septiembre del 2022 (incluido). Esta promoción no es acumulable. Condiciones válidas para inmuebles identificados en webs y portales con detalle promocional de campaña identificado en descriptivo del anuncio.",8.472222222222221,True,0,San José - Buenos Aires,True,True,0,Other
163,16,725.0,flat,50.0,True,1,1,"San Vicente de Paul, 3",Villanueva del Pardillo,40.49079,-3.96699,23787,"*DISPONIBILIDAD A PARTIR DEL 4 DE OCTUBRE * Tailor&Key presenta esta vivienda de alquiler de Recién Reformada de un dormitorio independiente y un baño en urbanización tranquila y bien comunicada. Cuenta con un dormitorio, un baño completo con plato de ducha, salón comedor y cocina integrada con electrodomésticos de máxima eficiencia energética marca BALAY. La cocina está equipada con vitrocerámica, horno, microondas, lavadora-secadora, lavavajillas y nevera. Todos los electrodomésticos están integrados en muebles con frente blanco brillo de gran limpieza y luminosidad rematados con una encimera blanca de silestone con fregadero bajo-encimera. La vivienda cuenta con una excepcional capacidad de almacenaje con armarios empotrados de suelo a techo vestidos con acabado interior lino cancún. Se entrega sin amueblar y en la reforma se han utilizado acabados de máxima calidad: Tarima de color madera natural AC5, pintura lisa, carpintería interior lacada en blanco y puerta de acceso acorazada. La carpintería exterior es oscilobatiente con rotura de puente térmico y vidrio bajo emisivo para optimizar el consumo energético y el comportamiento acústico. El sistema de climatización es de frío-calor y la instalación cuenta con la posibilidad de instalar radiadores eléctricos. En el cuarto de baño se han instalado un toallero eléctrico. El sistema de agua caliente se ha resuelto a través de un termo eléctrico de última generación integrado en el falso techo. Toda la iluminación es de focos LED y se ha dotado de retroiluminación indirecta LED tanto en el salón como en el dormitorio. Los gastos de IBI y comunidad de propietarios están incluidos en el precio. La vivienda se encuentra en una de las mejores zonas de Villanueva del Pardillo, a un paso de los colegios Valmont y Antavilla, Mercadona y la parada de autobús. La zona está perfectamente comunicada con los principales centros comerciales y de ocio de la zona Noroeste como Herón City, Centro Oeste y Európolis. También está muy próximo a las Universidades Francisco X El Sabio y SEK. Posibilidad de Alquilar plaza de garaje por 25€.",14.5,True,0.5,Centro,False,False,0.5,Other
164,22,750.0,flat,48.0,True,1,1,Calle Juana Urosa,Madrid,40.38276,-3.74352,5085,"Fantástico piso en Carabanchel. Alquila tu piso sin complicaciones con Housfy. Se alquila piso en Carabanchel, Madrid, una vivienda luminosa y ubicada en un entorno idóneo para disfrutarlo. Este piso fue construido en el año 1947 en Vista Alegre. Detalles del inmueble: - Sensacional piso de 48 m2. (Los metros cuadrados están verificados con la Dirección General de Catastro) - En este piso encontraremos 1 habitación y 1 baño. - Coqueto comedor que te proporcionará el relax diario, creando un precioso y único espacio. - Con una funcional cocina en buen estado y equipada con todo lo necesario. - Posibilidad de incluir los muebles. - Disfruta de la opción de armario empotrado. - Aire acondicionado y calefacción para todas las estaciones del año. - Exterior. - Puerta blindada. - Dos meses de fianza más honorarios de agencia. Respecto a la ubicación, está localizado en Madrid. Con todos los servicios que puedas necesitar para facilitar tus días en todo momento. Sobre nosotros: Housfy es una plataforma tecnológica que ofrece al propietario/a todos los servicios necesarios para que pueda alquilar la propiedad por su cuenta. Para más información, visítenos en housfy. com. AICAT número: 7922.",15.625,True,1,Carabanchel,False,False,1,Madrid
165,24,750.0,flat,70.0,True,3 or more,1,Calle Escuelas Pías,Alcalá de Henares,40.48661,-3.36494,29660,"Encantador piso luminoso en Alcalá de Henares Alquila tu piso sin complicaciones con Housfy. Se alquila piso en Alcalá de Henares, perfecto para familias o parejas que busquen un lugar cómodo para su día a día. El fantástico piso fue construido en el año 1960.  Detalles del inmueble: - El genial piso está formado por 70 m2. (Los metros cuadrados están verificados con la Dirección General de Catastro) - Contamos con todas las comodidades posibles de 3 habitaciones y 1 baño, perfecto para una familia. - Coqueto salón que te proporcionará el relax diario, siendo además, un espacio agradable estupendo para visitas de amigos y familiares. - Con una apropiada cocina en buen estado, equipado con todo lo necesario para el día a día.  - Una puerta blindada para garantizar su seguridad en todo momento. - Aire acondicionado y calefacción para todas las estaciones del año. - Disfruta de la opción de armario empotrado. - Terraza. - Exterior. - Dos meses de fianza más honorarios de agencia. Sobre la localización, está localizado en Alcalá de Henares (Madrid) Con todos los servicios que puedas necesitar para facilitar tus días en todo momento. Sobre nosotros: Housfy es una plataforma tecnológica que ofrece al propietario/a todos los servicios necesarios para que pueda alquilar la propiedad por su cuenta. Para más información, visítenos en housfy. com. AICAT número: 7922.",10.714285714285714,True,2,San Isidro - Los Almendros,False,False,2,Other
166,16,750.0,flat,49.0,True,1,1,"Calle de Santa Susana, 44",Madrid,40.47988,-3.64743,8465,"Que la vivienda este para entrar… te va a encantar! Que tenga las terminaciones que tiene toda la vivienda … te va a encantar! Que su distribución sea tan funcional y abierta … te va a encantar! Que tenga además de calefacción, aire acondicionado … te va a encantar! Que las luminarias sean todas de leds para que pagues menos factura de electricidad… te va a encantar! Que tengas los electrodomésticos todos nuevos … te va a encantar! Que se encuentre en una séptima planta … te va a encantar! Que tenga la terraza que tiene… te va a encantar! Que tenga las vistas abiertas que tiene … te va a encantar! Que la vivienda guarde la intimidad visual ya que no tiene ninguna edificación enfrente… te va a encantar! Que tengas la boca del metro de la línea 4 a tan solo 350m … te va a encantar! Y además cuando el que te la va a enseñar es Guillermo (call him now) … también te va a encantar! Take it!",15.306122448979592,True,7,Hortaleza,True,False,4 or more,Madrid
167,28,730.0,flat,60.0,True,3 or more,1,Calle Alfonso X el Sabio,Parla,40.23509,-3.76902,20948,"PROMOCIÓN: 1 MES DE ALQUILER GRATIS si reservas antes del 30 de septiembre. Y además, ¡sin comisiones de agencia. Piso de 60 m² en alquiler de 3 dormitorios situado en la localidad de Parla, provincia de Madrid. La vivienda dispone de buenas comunicaciones, próxima a paradas de autobús con la línea 461, a la parada de TRAM y con los accesos a la localidad mediante las carreteras M-408 y M-410. La zona dispone de equipamiento variado, centro de salud, centro comercial, farmacia, oficina de correos, oficina bancaria y restaurantes. Construido en 1979 este piso tiene una superficie de 60 y se distribuye en salón-comedor, 3 dormitorios con armarios empotrados, cocina amueblada con armarios altos y bajos y equipada con horno, vitrocerámica y campana extractora y 1 baño, listo para convertirse en su próxima vivienda en alquiler. Con nuestros servicios podrá encontrar la vivienda que necesita. Empiece ahora mismo pidiendo más información. Un responsable cercano a usted le atenderá personalmente. Promoción válida para contratos firmados antes de 30 de septiembre del 2022 (incluido). Esta promoción no es acumulable. Condiciones válidas para inmuebles identificados en webs y portales con detalle promocional de campaña identificado en descriptivo del anuncio.",12.166666666666666,True,3,Reyes,False,False,3,Other
