,numPhotos,price,propertyType,size,exterior,rooms,bathrooms,distance,priceByArea,hasPlan,has360,hasVideo,description,hasLift,parkingSpace_included_in_listing,municipality,floor,floor_grouped,municipality_grouped
14,18,700.0,flat,45.0,False,1,1,2046,15.555555555555555,False,False,False,"Coqueto y acogedor apartamento de un dormitorio amueblado y equipado, bien mantenido, entre las estaciones de Arguelles y Moncloa.  LLÁMAME AL 681-328-630. Cuenta con un Dormitorio con armario empotrado y cama grande, salón con Cocina americana equipada con electrodomésticos, baño con Bañera, Suelos de tarima, Puerta blindada, Ventanas de PVc climalit, Pintura en liso,  Calefacción y agua caliente individual electrico, sin ascensor, Comunidad incluida.",False,False,Madrid,5.0,4,Madrid
15,14,550.0,flat,54.0,True,2,1,26233,10.185185185185183,False,False,False,"Se alquila estupenda vivienda exterior y reformada de 54m2 según catastro exterior y muy luminosa. Consta de 2 dormitorios, 1 cuarto de baño, salón y cocina independiente equipada con electrodomésticos. Dispone de puerta blindada, suelos de gres, ventanas dobles con mosquitera y calefacción eléctrica por emisores térmicos. Finca sin ascensor. Se alquila vacía de muebles. Esta vivienda será gestionada integralmente a través de la Agencia Negociadora del Alquiler, empresa líder en la gestión del alquiler de viviendas de la Comunidad de Madrid, que se encargará de intentar solucionar y gestionar a los inquilinos cualquier tipo de incidencia (no imputable a ellos) que pueda surgir durante la duración del arrendamiento. También se encargará de tramitar el depósito de la fianza entregada por los inquilinos en la Agencia Social de la Vivienda de la Comunidad de Madrid. ÚNETE AL TRANQUILER! Gastos de Comunidad incluidos en la renta. En función de la documentación aportada, podrán aumentar las garantías económicas que se soliciten. Los honorarios por la gestión de la Agencia Negociadora del Alquiler son de una mensualidad de renta + el 21% de IVA.",False,False,Arganda,0.5,0.5,Other
16,11,695.0,flat,64.0,True,2,1,15747,10.859375,False,False,False,"Se alquila estupenda vivienda exterior y muy luminosa de 64m2 (61 útiles) según catastro. Consta de 2 dormitorios, 1 cuarto de baño, salón y cocina independiente equipada. Dispone de puerta principal, suelos de sintasol, ventanas de aluminio, armarios y calefacción individual por gas natural. Se alquila vacía de muebles. Finca sin ascensor. Esta vivienda será gestionada integralmente a través de la Agencia Negociadora del Alquiler, empresa líder en la gestión del alquiler de viviendas de la Comunidad de Madrid, que se encargará de intentar solucionar y gestionar a los inquilinos cualquier tipo de incidencia (no imputable a ellos) que pueda surgir durante la duración del arrendamiento. También se encargará de tramitar el depósito de la fianza entregada por los inquilinos en la Agencia Social de la Vivienda de la Comunidad de Madrid. ÚNETE AL TRANQUILER! Gastos de Comunidad incluidos en la renta. En función de la documentación aportada, podrán aumentar las garantías económicas que se soliciten. Los honorarios por la gestión de la Agencia Negociadora del Alquiler son de una mensualidad de renta + el 21% de IVA.",False,False,San Sebastián de los Reyes,1.0,1.0,Other
17,5,650.0,flat,68.0,True,2,1,42410,9.558823529411764,False,False,False,"JOVY INMOBILIARIA alquila piso de dos dormitorios en muy buen estado de conservación, 68m2, salón-comedor, baño completo con plato de ducha y amplia cocina. Muy céntrico, cerca de todos los servicios. Calefacción eléctrica.",False,False,San Lorenzo de el Escorial,0.0,0.0,Other
19,22,700.0,flat,30.0,False,1,1,3247,23.33333333333333,False,False,False,"Piso amueblado en la zona de Pacífico, distrito Retiro.  La vivienda tiene dormitorio independiente, con posibilidad de cambiar la cama, y cocina abierta al salón, en edificio tranquilo y agradable.  Metro pacífico y multitud de autobuses.  Zona con supermercados, colegios, farmacias, centro de salud.",True,False,Madrid,1.0,1.0,Madrid
20,16,700.0,flat,35.0,False,1,1,1894,20.0,False,False,False,"Excelente ubicación, metro, bus, supermercados, Mercado Santa Maria de la cabeza Salida m30 en vehículo junto a la vivienda, Madrid Río, Pasillo Verde Primera planta interior con mucha luz natural, cuantos quisiéramos Totalmente reformado, aislamiento puente térmico y climalit Electrodomésticos, radiadores calor azul, termo agua caliente Dormitorio muy amplio con gran armario empotrado Ideal pareja o uno, una sol@.",False,False,Madrid,1.0,1.0,Madrid
21,15,700.0,flat,43.0,True,1,1,4442,16.27906976744186,False,False,True,"Se alquila apartamento amueblado de 43 m2 en la mejor zona del Barrio Aluche/Carabanchel, perteneciente al distrito Latina, junto a Hospital Gómez Ulla, listo para entrar a vivir. No válido para estudiantes. Ocupación máxima dos personas. No se admiten ni permiten mascotas.  Segundo piso con ascensor. Consta de salón luminoso, un dormitorio con gran armario empotrado, baño con plato de ducha equipada con sistema hidromasaje, cocina amueblada y equipada con electrodomésticos. Plaza de garaje opcional para vehículo pequeño(incremento 70,00. -€ precio arrendamiento). Construcción año 2000.  Muebles y sofás de alta calidad (no muebles de marca sueca). Aire acondicionado bomba de calor / frio. Agua caliente termo eléctrico. Persiana de salón eléctrica. Toldo en salón. Todos los servicios a pocos minutos caminando. Metro: Carpetana (línea 6), Carabanchel (línea 5), Vista Alegre (línea 5). Bus (servicio diurno): 17, 25, 31, 35, 55, 119. Bus (servicio nocturno): L5, L6-C1, L6-C2, N16, N17, N18. Requisitos: contrato laboral indefinido de más de un año o funcionario/a, tres últimas nóminas y que el alquiler no supere el 33% de los ingresos netos mensuales necesario para gestión seguro impago. Un mes de fianza, un mes de garantía personal, mes en curso y honorarios profesional (un mes de renta más 21% I. V. A. ).",True,False,Madrid,2.0,2.0,Madrid
22,7,650.0,flat,60.0,True,2,1,3985,10.833333333333334,False,False,False,Piso exterior a estrenar! Imprescindible nomina y solvencia! Whatsapp: 695-64-81-84 Abstenerse sino cumplen requisitos.,False,False,Madrid,1.0,1.0,Madrid
24,12,700.0,flat,105.0,True,3,2,44003,6.666666666666667,False,False,False,,False,False,Aranjuez,0.0,0.0,Other
25,9,695.0,flat,40.0,False,1,1,2271,17.375,True,False,False,"Piso de 35 m2, consta de 1 dormitorio, salón, cocina amueblada y equipada y 1 baño completo.   Se entrega amueblado. Se encuentra muy bien ubicado, cercano a la parada de metro de Príncipe de Vergara L2 y L9, con todos los servicios próximos: parques, supermercados, centro de salud.  NO SE ADMITEN ANIMALES.",True,False,Madrid,4.0,4,Madrid
26,13,675.0,flat,40.0,True,1,1,23556,16.875,False,False,False,"Piso de 40m2 distribuidos en salón con cocina americana con doble ventana y mucha luminosidad, dormitorio principal con armarios empotrados y cuarto de baño en suite con bañera. La comunidad cuenta con plaza de garaje incluida en el precio, dispone de piscina comunitaria y zonas verdes. Se entrega pintado y acondicionado  -Disponible a mediados de Septiembre-  ¡NO PIERDAS LA OPORTUNIDAD DE VENIR A VERLO!",False,True,Villanueva del Pardillo,0.0,0.0,Other
29,30,750.0,studio,45.0,False,0,1,1027,16.666666666666668,False,False,True,"La Casa Agency Lavapiés ofrece un estudio en alquiler en la calle de Mesón de Paredes del multicultural barrio de Lavapiés – Embajadores en Madrid centro. Este inmueble, está reformado con un delicado diseño y con una decoración muy cuidada. Y se distribuye en las siguientes estancias: - salón – dormitorio, - cocina americana y - cuarto de baño. Asimismo, este estudio en alquiler en la calle de Mesón de paredes se ubica en una zona muy bien comunicada. Ya que en sus proximidades se encuentran varias estaciones de Metro de Madrid y de Cercanías Renfe, así como varias paradas de autobuses de la EMT Madrid. Además, existen varios aparcamientos en las cercanías, públicos y para residentes. Además, hay que destacar que el barrio de Lavapiés – Embajadores cuenta con una gran variedad de servicios sociales, de salud, educativos, financieros, gastronómicos, culturales y de ocio. Así como comerciales, con 2 mercados municipales, varios supermercados y múltiples comercios locales de proximidad. Se solicita: - DNI o NIE, - contrato de trabajo indefinido con al menos 1 año de antigüedad, - 3 últimas nóminas y - vida laboral actualizada. Y en caso de autónomos: - DNI o NIE, - última declaración de la renta, - 3 últimos pagos del IVA y - 3 últimos pagos del recibo de autónomos. A la firma del contrato se entregará: - mes en curso, - 2 meses de fianza, - y mes de agencia (+ IVA). ¡No lo dudes: contáctanos!",True,False,Madrid,0.0,0.0,Madrid
30,20,750.0,flat,99.0,True,3,2,43492,7.575757575757576,False,False,False,"Agencia inmobiliaria de Aranjuez zona Aranjuez Tecnocasa HOUSELAND ARANJUEZ SLU Oficina Tecnocasa de ARANJUEZ presenta piso en ALQUILER: Piso sito en calle Stuart, en pleno centro de Aranjuez cerca de todos los servicios, supermercados, parques, ambulatorios, parada de autobús, farmacia.. . La vivienda consta de amplio salón con balcones, cocina completamente amueblada y equipada con acceso a patio de uso privado, 3 amplios dormitorios y dos cuartos de baño completos, uno de ellos con plato de ducha y el otro con bañera. Finca con ascensor. Puede ser suya presentando las 3 ultimas nominas de trabajo, contrato de trabajo y vida laboral. Contacte con nosotros para hacer una visita.",True,False,Aranjuez,1.0,1.0,Other
31,29,680.0,flat,38.0,False,1,1,2591,17.894736842105264,False,False,False,"Se alquila estupenda vivienda de 38 m2 (34 m2 útiles según catastro) interior en finca con ascensor.  Consta de 1 dormitorio, cuarto de baño con plato de ducha, salón comedor y cocina equipada con electrodomésticos.  Puerta blindada, suelos de tarima, armarios, ventanas de aluminio, calefacción individual por emisores térmicos eléctricos y se alquila semi amueblado. Esta vivienda será gestionada integralmente a través de la Agencia Negociadora del Alquiler, empresa líder en la gestión del alquiler de viviendas de la Comunidad de Madrid, que se encargará de intentar solucionar y gestionar a los inquilinos cualquier tipo de incidencia (no imputable a ellos) que pueda surgir durante la duración del arrendamiento. También se encargará de tramitar el depósito de la fianza entregada por los inquilinos en la Agencia Social de la Vivienda de la Comunidad de Madrid. ÚNETE AL TRANQUILER! Gastos de Comunidad incluidos en la renta. En función de la documentación aportada, podrán aumentar las garantías económicas que se soliciten. Los honorarios por la gestión de la Agencia Negociadora del Alquiler son de una mensualidad de renta + el 21% de IVA.",True,False,Madrid,1.0,1.0,Madrid
32,24,750.0,flat,51.0,True,1,1,11896,14.705882352941176,False,False,False,"Magnifico apartamento de un dormitorio ideal para una persona o una pareja. Consta de salón comedor con cocina americana, terraza a la calle exterior, un dormitorio con gran armario empotrado, con ventana al exterior, cuarto de baño completo, ascensor, buen portal. Muy bien comunicado dando a la Av. de Logroño. Plaza de garaje en el mismo edificio incluida en el precio A 300m de la estación de metro Barajas, próximo al Aeropuerto. Próximo al centro de salud y supermercados Dia, Ahorramas y Mercadona. Fianza: 800€ Garantía alquiler 800€ Se exige demostrar solvencia suficiente, contrato laboral y documentación en regla Honorarios Agencia: una mensualidad mas IVA a cargo del inquilino. Se alquila por periodos anuales, tiempo inferior consultar cambia el precio. Disponible.",True,True,Madrid,1.0,1.0,Madrid
33,12,750.0,penthouse,60.0,True,1,1,21316,12.5,False,False,False,"¡ESPECTACULAR Y LUMINOSO ÁTICO EN LAS MATAS! Disponemos en exclusiva de este precioso ático completamente exterior y en un estado de conservación excelente. Esta vivienda con matices de agradable diseño moderno, de 50m2 se encuentra en una zona muy bien comunicada y tranquila de Las Matas.  Esta preciosa vivienda de paredes gotelé de color blanco y carpintería interior de madera en blanco lacado, nos ofrece según entramos por la puerta principal, un espacioso y bien cuidado Hall recibidor con suelo laminado. A mano izquierda, un cuarto de baño en materiales de primera calidad con luz propia a través de una ventanita al lado del módulo lavamanos con espejo integrado y bañera. A la derecha, una espaciosa cocina completamente reformada con vitrocerámica, y con salida por una puerta propia a un tendedero cubierto con ventanal exterior, lo que aporta mucha luminosidad a la estancia a lo largo del trascurso de las horas del día. Continuamos caminando por el Hall recibidor. A mano izquierda, nos sorprende el ático con una acogedora y amplia habitación exterior muy luminosa, con cama de matrimonio y dos módulos de armario empotrado (uno a cada lado de la habitación), lo que garantiza maximizar las posibilidades de cara al almacenamiento dentro de la propiedad. Por otro lado, y a la derecha, nos encontramos con un salón de amueblado elegante, y un ventanal de dimensiones grandes que garantiza la misma luminosidad que las otras estancias de la casa.",False,False,Las Rozas de Madrid,2.0,2.0,Other
34,13,750.0,studio,25.0,False,0,1,533,30.0,False,False,False,"REF 7669. Estupendo estudio interior de 25m2 reforma integral a estrenar, un baño con ducha, cocina amueblada y equipada, calefacción eléctrica individual, aire acondicionado, suelo de tarima. SEMI AMUEBLADO. Finca con ascensor. Gastos de comunidad incluidos en la renta. Perfecta ubicación con todos los servicios, Metro Chueca L5. Nuestras condiciones son: 1 mes de fianza, 1 mes de depósito de garantías, 1 mes de honorarios y el mes corriente. Tanto la fianza como las garantías se devuelven a la finalización del contrato. Pedimos contrato de trabajo y nóminas PRE.",True,False,Madrid,4.0,4,Madrid
35,7,750.0,flat,40.0,False,1,1,1989,18.75,False,False,False,"Piso totalmente reformado a estrenar ubicado al lado de Atocha Renfe.  Se distribuye en hall de entrada, salón, cocina con electrodomésticos, dormitorio independiente y baño.  Se entrega amueblado tal y como se ve en las fotos. Se encuentra ubicado en una zona privilegiada dotada de todos los servicios, al lado de Atocha Renfe con metro y Cercanías, autobuses, supermercados, zonas de ocio y restauración y una gran oferta cultural. Se requiere solvencia económica con contrato de trabajo indefinido y nóminas.",False,False,Madrid,1.0,1.0,Madrid
38,13,650.0,flat,62.0,True,2,1,7841,10.483870967741936,True,False,False,"SIN COMISIÓN DE AGENCIA INMUEBLE SIN AMUEBLAR. SIN NEVERA, SIN LAVADORA Y SIN MICROONDAS.  Piso en Madrid, idóneo para parejas. El inmueble consta de 62 m² construidos distribuidos en 2 habitaciones, salón-comedor, cocina además de 1 baño completo. La vivienda tiene mucha luz natural y suelos de parquet. El inmueble se encuentra en la 1a planta del edificio, sin ascensor. En sus alrededores encontramos el Colegio Público Manuel Bartolomé Cossio, supermercados, bancos, bibliotecas, farmacias, centros deportivos y la estación de tren Las Águilas. A 20 minutos a pie encontramos oficinas de correos y la estación de metro Empalme. El inmueble está situado a 18 minutos en coche del centro de Madrid. Con fácil acceso a M-40. REQUISITOS: 1 MES DE FIANZA + 2 MESES DE GARANTÍA + MES CORRIENTE.  -Solvencia económica mínima de 2.160€.  -1 contrato laboral indefinido mínimo -Presentación póliza de seguro hogar (responsabilidad civil y contenido).  -Se admiten mascotas.",False,False,Madrid,1.0,1.0,Madrid
39,15,750.0,studio,30.0,True,0,1,935,25.0,False,False,True,"Acogedor estudio estrenar en edificio histórico con encanto, totalmente reformado y rehabilitado.  Cocina, salón y dormitorio en un solo ambiente. Con electrodomésticos nuevos a estrenar. Interior a corrala rehabilitada. Muy luminoso. Trastero en la misma planta incluido en el precio. Ubicado en una calle muy tranquila del barrio de Lavapiés, a unos metros de la popular calle Santa Isabel, cerca del mítico Mercado de Antón Martín. Muy bien comunicado entre las paradas de metro de “Antón Martín” (línea 1) y “Lavapiés” (línea 3). Zona comercial con todos los servicios. Lavapiés es un barrio animado y multicultural que se extiende a lo largo de empinadas calles medievales llenas de animados restaurantes indios y antiguas tabernas españolas. En los centros culturales de Tabacalera y La Casa Encendida, se presentan espectáculos y eventos de arte de vanguardia, en contraste con las obras maestras modernas, como el ""Guernica"" de Picasso, que se exhibe en el cercano Museo Reina Sofía. Los vendedores del concurrido mercado de San Fernando venden queso, libros y cerveza artesanal.",False,False,Madrid,3.0,3.0,Madrid
40,24,750.0,flat,39.0,False,1,1,2036,19.23076923076923,True,False,False,"JS Gestión Inmobiliaria alquila apartamento luminoso en Chamberi. Situado en el distrito de Chamberí, barrio de Trafalgar, en la 5º planta de una finca que no dispone de ascensor, se trata de un piso bien ubicado, que tiene 36m2 utiles. Nous parlons Français/ We speak English ""NUESTRA AGENCIA DISPONE DE PROTOCOLO DE SEGURIDAD COVID-19 PARA GARANTIZAR LA SEGURIDAD DE NUESTROS CLIENTES"" El inmueble consta de: -Salón comedor independiente. -Cocina independiente, amueblada y equipada -1 dormitorio doble con su armario. -Un baño completo con bañera. -Ventanas de aluminio -Suelos de parquet. -No tiene calefacción. -Finca sin ascensor. -Dispone de portero. Se encuentra en pleno Chamberí, con excelentes comunicaciones y en una zona cuenta con todo tipo de servicios: colegios, hospitales, comercios, supermercado, restaurantes,  JS Gestión Inmobiliaria, empresa especializada en la intermediación inmobiliaria con presencia en los distritos más exclusivos de Madrid, un profundo conocimiento del sector y una amplia trayectoria profesional, le ofrece la posibilidad de encontrar solución a sus necesidades inmobiliarias de modo que podamos conseguir su completa satisfacción y confianza. ""La información aquí incluida no forma parte de ninguna oferta o contrato y puede estar sujeta a errores, omisiones, cambio de precio o cualquier otra modificación sin previo aviso. "" Le podemos enseñar el inmueble de lunes a domingo. Consúltenos. Por favor, no olvide dejarnos su nombre y número de teléfono, pues debido a la alta demanda, es la forma más rápida de informarle. ■ ■ ■ ■ ■ ■ ■ ■ �C/ Benito Gutiérrez nº 14 � 646 126 593/ ☎ 917 034 278.",False,False,Madrid,5.0,4,Madrid
41,21,700.0,flat,62.0,True,2,1,8492,11.290322580645162,True,True,True,"PROMOCIÓN: 1 MES DE ALQUILER GRATIS si reservas antes del 30 de septiembre. Y además, ¡sin comisiones de agencia!. Piso de 62 m² en alquiler de 2 dormitorios, ubicado en Madrid. La vivienda está bien comunicada, con paradas de autobús a pocos metros con las líneas 79, 59 y N13, a 2 minutos de la estación de metro San Cristóbal de los Ángeles y por carretera mediante los accesos viarios E-5 y M-301. La zona dispone de variado equipamiento, centro de salud, centro comercial, escuela infantil, colegio, instituto, oficina bancaria y restaurantes. Construido en 1960, este piso tiene una superficie de 62 m² y se distribuye en salón-comedor, 2 dormitorios, cocina amueblada y equipada con horno, vitrocerámica y campana extractora y 1 baño, listo para convertirse en su próxima vivienda en alquiler. Con nuestros servicios podrá encontrar la vivienda que necesita. Empiece ahora mismo pidiendo más información. Un responsable cercano a usted le atenderá personalmente. Promoción válida para contratos firmados antes de 30 de septiembre del 2022 (incluido). Esta promoción no es acumulable. Condiciones válidas para inmuebles identificados en webs y portales con detalle promocional de campaña identificado en descriptivo del anuncio.",False,False,Madrid,3.0,3.0,Madrid
42,17,747.0,flat,96.0,True,3,2,26611,7.78125,True,False,False,"Viviendas protegidas de alquiler con opción a compra VPPAOC. De nueva ocupación, construidas en 2019. Están situadas en la calle Pino Canario Nº 3 de Navalcarnero, en un barrio moderno y con todos los servicios. Disponemos de una vivienda: 3 dormitorios, 2 baños, salón, cocina amueblada completa, 2 plazas de garaje y 1 trastero. Precio de alquiler: 790€ mes IVA incluido  Precio final de compra: 242.668, 25€ sin IVA. Todas las viviendas cumplen B de calificación energética.  El alquiler tendrá una duración de 5 años, pasado dicho periodo se podrá ejecutar la opción de compra. A los precios de compra se deducirá el 50% de las cantidades pagadas durante el arrendamiento en concepto de renta (SIN IVA). El IVA de aplicación actualmente es el 10%, en caso de variación se aplicará el tipo de IVA vigente al devengo de cada una de las entregas del precio. Para más información contacte con nosotros.",True,True,Navalcarnero,1.0,1.0,Other
